speaker_id,start_time,end_time,duration,speech
SPEAKER_04,0:00:11,0:00:31,20.509,"In this brand new season of the family affair, four families across Asia live with cameras for months. A super-sized Singapore family struggles to stretch the dollar. "
SPEAKER_06,0:00:31,0:00:46,14.867,"When everything is multiplied by eight, then you really feel it. Even if two dollars increase or one dollar increase, it becomes eight dollars or sixteen dollars. Why does pizza have to be so expensive in Singapore? "
SPEAKER_04,0:00:46,0:00:48,2.1610000000000014,"In China and India, "
SPEAKER_03,0:00:48,0:00:55,7.311,teenage tantrums abound. What do you do in your mobile phone in the morning? What message do you need? 
SPEAKER_07,0:00:55,0:01:15,19.654999999999994,"And over in Japan, singlehood burdens aging parents. From round-the-clock filming to secret confessions, "
SPEAKER_05,0:01:15,0:01:20,5.185000000000002,"When I see the bank account, I reach the three digits. My wife asks me, how, "
SPEAKER_06,0:01:20,0:01:30,9.670000000000002,how. I don't like to fight. I want to be a young person. I don't want to fight. I just want to 
SPEAKER_04,0:01:30,0:01:34,3.722999999999999,die. Find out how these families keep it together. I 
SPEAKER_06,0:01:34,0:02:08,34.006,don't know how many times I haven't done anything. And how their lives are just like yours. The family affair. 
SPEAKER_07,0:02:08,0:02:48,40.658,Wake up! Wake up! 
SPEAKER_04,0:02:48,0:03:02,13.338999999999999,It's Saturday. Grandma Li Taixiu knows there's no school. But she wants 16-year-old Wen Ji-shuan up early to catch up on schoolwork. 
SPEAKER_06,0:03:02,0:03:23,21.491000000000014,"My mother-in-law died in the middle of the night. She had to wake me up in the morning. I was so worried about her. Did you hear that? I can't take my eyes off you. I can't take my eyes off you. Oh, my goodness. I was too young to get up in the morning. I didn't have much time "
SPEAKER_07,0:03:23,0:03:30,6.532999999999987,in the high school. I didn't know much about it. 
SPEAKER_06,0:03:30,0:03:55,25.830000000000013,"Over in India, it's the school holidays. "
SPEAKER_04,0:03:55,0:04:03,7.644999999999982,"But father of the Sharma household, Vipin, wants his 15-year-old son, Divyanshu, to help out with household "
SPEAKER_06,0:04:03,0:04:12,9.387,chores. 
SPEAKER_04,0:04:12,0:04:27,15.005000000000024,It's the start of another 18-hour workday for 29-year-old Haruka. She works as a sports TV producer in Tokyo. Working weekends is par for the course. 
SPEAKER_07,0:04:27,0:04:41,13.807999999999993,It's not like I'm working too hard. 
SPEAKER_06,0:04:41,0:05:35,54.07900000000001,"I'm a bit shy, but he's also a bit of a lazy person. I say lazy, but he's not lazy. He doesn't say that I'm lazy in my dreams, but he's lazy in my old days. Every week, my mom will let me pack my clothes. But I've never really packed my clothes before. Basically, it's all good to have people in. So I can't really find my clothes now. Well, not everyone agrees with Ji Xuan's fashion sense. "
SPEAKER_07,0:05:35,0:05:40,4.843999999999994,It's hard to tell. But Grandma Li Dai Xu and Ji Xuan used to be very 
SPEAKER_06,0:05:40,0:06:04,24.230999999999995,close. 
SPEAKER_04,0:06:04,0:06:06,1.8809999999999718,"with both her parents working, Tixuan was raised by her grandmother. She "
SPEAKER_06,0:06:06,0:06:06,0.08000000000004093,was 
SPEAKER_04,0:06:06,0:06:11,4.2620000000000005,raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by 
SPEAKER_06,0:06:11,0:06:18,7.383999999999958,her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She 
SPEAKER_07,0:06:18,0:06:33,15.247000000000014,was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother. She was raised by her grandmother 
SPEAKER_03,0:06:33,0:06:55,21.70300000000003,"Brother, did you paste it? Yes. So you came back and slept? It's amazing. Come on, get up and get ready. You have to go to the shop too. Son, don't you look at me at night, do you? Let me know when you wake up. Did you see the time? How much time has passed? Breakfast are a lot quieter at the "
SPEAKER_06,0:06:55,0:07:25,29.638999999999953,Saito household. 
SPEAKER_07,0:07:25,0:07:26,1.6210000000000377,Meet Haruka's 
SPEAKER_00,0:07:26,0:07:28,2.1019999999999754,"mother, "
SPEAKER_04,0:07:28,0:08:12,43.509000000000015,"58-year-old Yumiko Saito. Haruka is constantly occupied with work, leaving mother Yumiko feeling rather neglected. "
SPEAKER_07,0:08:12,0:08:41,28.863,"Haruka, do you eat at home? Yes. Do you eat at home? Yes. What time do you come home? Around 9. "
SPEAKER_04,0:08:41,0:08:59,18.471000000000004,"For the last 30 years, Yumiko has been a housewife. She married Sakai Chisaito when she was 28. Within the first two years, she had three children, Ryoya, Haruka, and Yuka. "
SPEAKER_06,0:08:59,0:09:12,12.692999999999984,"In the last few years, much has changed. "
SPEAKER_04,0:09:12,0:09:40,28.461000000000013,"Her youngest, Yuka, is married with two children and has moved out. Like most Japanese employees, her two other children, Haruka and Ryoya, work extremely long hours. Even her husband, who's now the director of a real estate company, is also hardly ever at home. "
SPEAKER_06,0:09:40,0:10:10,29.732999999999947,"In India, Vipin gave up his career as a mechanical engineer. "
SPEAKER_04,0:10:10,0:10:40,30.211000000000013,focus on caring for his children. 
SPEAKER_06,0:10:40,0:11:07,26.359000000000037,"Five months ago, Wipin was forced to leave his job. "
SPEAKER_04,0:11:07,0:11:15,8.344000000000051,"His wife, Uma, who was suffering from a rare muscle disorder, passed away. "
SPEAKER_03,0:11:15,0:11:32,16.910999999999945,The kids used to tell me about their problems. They used to tell me about their problems. Now there's no one to take care of them. The communication between the two was cut off. 
SPEAKER_06,0:11:32,0:11:59,26.740999999999985,I used to tell my parents or sometimes I used to tell them to not scold them like that. La la la la. 
SPEAKER_00,0:11:59,0:12:06,7.283999999999992,"When 48-year-old Dan and Sue tied the knot, they planned to have kids. But what they didn't plan on was having six of "
SPEAKER_04,0:12:06,0:12:35,28.908000000000015,them. 
SPEAKER_05,0:12:35,0:12:46,10.762000000000057,"When I tell people that I have six kids, that's very unusual. "
SPEAKER_06,0:12:46,0:12:56,10.581999999999994,"I tell people that if on my wedding day, I knew that I was going to have six children, I would probably have run away screaming. "
SPEAKER_04,0:12:56,0:12:58,1.8209999999999127,Meet the oldest of the brood. 
SPEAKER_00,0:12:58,0:13:06,7.8559999999999945,"Hello, everybody. Hello. My name's Asher. 18-year-old Asher. I'm Isaac. This is my "
SPEAKER_04,0:13:06,0:13:22,16.454000000000065,"brother, Isaac. Then there's 14-year-old Isaac, 16-year-old Abigail, 12-year-old Isaiah, 9-year-old Magdalena, and the baby of the family, 6-year-old Michaela. "
SPEAKER_06,0:13:22,0:13:30,7.206000000000017,Welcome to our house. This is our house. It's a five-room HDB flat. 
SPEAKER_04,0:13:30,0:13:38,8.347999999999956,"With some clever space-saving tips, The 1400 square foot home fits all eight of them comfortably. "
SPEAKER_06,0:13:38,0:14:15,37.41700000000003,"My friend took a look at our shelves and said it looks like a childcare centre. You know the little shelves and all the shoes down there. This is my family. So this is actually the master bedroom. The girls live here and this is a really cool bed that we can actually lift up and it doubles as their workspace. This living room space, we can double it up as a bedroom. Actually, the boys sleep here. We gave the largest room to the children and my husband and I actually took the smallest room for ourselves. "
SPEAKER_04,0:14:15,0:14:25,9.317999999999984,"This is Su and Dan's bedroom. But most of the time, the entire Ong family squeezes into this room. "
